============================================================
  Generated by:           Encounter(R) RTL Compiler v11.10-s016_1
  Generated on:           Oct 19 2016  08:54:34 am
  Module:                 RouterCC
  Technology libraries:   CORE65GPSVT 
                          CLOCK65GPSVT 
                          CORE65GPSVT_1 
                          CLOCK65GPSVT_1 
                          CORE65GPSVT_2 
                          CLOCK65GPSVT_2 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_1 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_2 
                          physical_cells 
  Operating conditions:   nom_1.00V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                           
        Gate          Instances    Area        Library     
HS65_GS_NAND2X21            225   1170.000    CORE65GPSVT  
HS65_GS_NAND2X29             84    524.160    CORE65GPSVT  
HS65_GS_NAND2X4              10     20.800    CORE65GPSVT  
HS65_GS_NAND2X43            100    884.000    CORE65GPSVT  
HS65_GS_NAND2X5               2      4.160    CORE65GPSVT  
HS65_GS_NAND2X57             47    562.120    CORE65GPSVT  
HS65_GS_NAND2X7             853   1774.240    CORE65GPSVT  
HS65_GS_NAND3AX13            19    108.680    CORE65GPSVT  
HS65_GS_NAND3AX19            21    163.800    CORE65GPSVT  
HS65_GS_NAND3AX25            36    355.680    CORE65GPSVT  
HS65_GS_NAND3AX6             12     43.680    CORE65GPSVT  
HS65_GS_NAND3X13             90    468.000    CORE65GPSVT  
HS65_GS_NAND3X19             71    479.960    CORE65GPSVT  
HS65_GS_NAND3X25             47    415.480    CORE65GPSVT  
HS65_GS_NAND3X38              7     91.000    CORE65GPSVT  
HS65_GS_NAND3X5              13     33.800    CORE65GPSVT  
HS65_GS_NAND3X6               4     12.480    CORE65GPSVT  
HS65_GS_NAND3X9              14     72.800    CORE65GPSVT  
HS65_GS_NAND4ABX25            4     47.840    CORE65GPSVT  
HS65_GS_NAND4ABX3            19     69.160    CORE65GPSVT  
HS65_GS_NAND4X27              3     24.960    CORE65GPSVT  
HS65_GS_NAND4X35             48    449.280    CORE65GPSVT  
HS65_GS_NOR2AX13            141    586.560    CORE65GPSVT  
HS65_GS_NOR2AX19             11     62.920    CORE65GPSVT  
HS65_GS_NOR2AX25              5     33.800    CORE65GPSVT  
HS65_GS_NOR2AX3              58    150.800    CORE65GPSVT  
HS65_GS_NOR2AX6             161    502.320    CORE65GPSVT  
HS65_GS_NOR2X13             281   1022.840    CORE65GPSVT  
HS65_GS_NOR2X19             239   1242.800    CORE65GPSVT  
HS65_GS_NOR2X2               25     52.000    CORE65GPSVT  
HS65_GS_NOR2X25             140    873.600    CORE65GPSVT  
HS65_GS_NOR2X3                2      4.160    CORE65GPSVT  
HS65_GS_NOR2X38             169   1493.960    CORE65GPSVT  
HS65_GS_NOR2X50               6     71.760    CORE65GPSVT  
HS65_GS_NOR2X6              116    241.280    CORE65GPSVT  
HS65_GS_NOR2X9                3     10.920    CORE65GPSVT  
HS65_GS_NOR3AX18              1      9.880    CORE65GPSVT  
HS65_GS_NOR3AX2              12     37.440    CORE65GPSVT  
HS65_GS_NOR3AX4               8     29.120    CORE65GPSVT  
HS65_GS_NOR3AX9               7     40.040    CORE65GPSVT  
HS65_GS_NOR3X13               1      6.760    CORE65GPSVT  
HS65_GS_NOR3X18               2     17.680    CORE65GPSVT  
HS65_GS_NOR3X26               2     22.880    CORE65GPSVT  
